ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
002594.SZ,20250703,330.98,335.25,330.67,334.56,330.66,0.0,1.1795,123497.81,4123732.531,hfq
002594.SZ,20250704,332.5499,334.9899,329.7699,330.9999,334.5599,-3.5601,-1.0641,104103.55,3454495.463,hfq
002594.SZ,20250707,329.1999,330.4899,328.4399,328.5899,330.9999,-2.41,-0.7281,88207.72,2901015.557,hfq
002594.SZ,20250708,327.0,329.78,325.72,326.88,328.59,-1.7099,-0.5204,116918.14,3825413.668,hfq
002594.SZ,20250709,326.8999,328.2099,325.7799,325.7999,326.8799,-1.0801,-0.3304,121633.11,3969384.13,hfq
002594.SZ,20250710,325.8099,326.0899,318.8499,321.2299,325.7999,-4.57,-1.4027,210022.06,6741345.468,hfq
002594.SZ,20250711,319.9,326.85,319.02,323.91,321.23,2.6801,0.8343,168269.83,5456832.018,hfq
002594.SZ,20250714,323.91,323.91,317.56,318.49,323.91,-5.42,-1.6733,172309.14,5502331.854,hfq
002594.SZ,20250715,318.2001,325.0001,318.0001,323.0501,318.4901,4.5601,1.4318,162790.94,5252631.322,hfq
002594.SZ,20250716,323.0601,325.9101,323.0601,323.7201,323.0501,0.67,0.2074,110758.35,3594544.238,hfq
002594.SZ,20250717,325.0001,328.7201,324.1001,328.0201,323.7201,4.3,1.3283,156891.35,5138610.961,hfq
002594.SZ,20250718,329.1301,329.5001,325.2501,329.1101,328.0201,1.09,0.3323,136866.49,4482466.755,hfq
002594.SZ,20250721,327.9902,334.1202,327.2602,334.1202,329.1102,5.0101,1.5223,153945.03,5102459.146,hfq
002594.SZ,20250722,335.0003,342.0103,333.2103,341.6903,334.1203,7.5701,2.2657,214164.17,7227731.007,hfq
002594.SZ,20250723,342.0905,343.0005,337.0005,338.0705,341.6905,-3.6198,-1.0594,158907.35,5395840.274,hfq
002594.SZ,20250724,338.0806,346.5406,337.6306,342.7206,338.0706,4.6501,1.3755,189063.27,6489370.096,hfq
002594.SZ,20250725,341.0007,341.4007,335.0007,337.9307,342.7207,-4.7899,-1.3976,157040.76,5307866.611,hfq
002594.SZ,20250728,337.9308,339.1008,335.5308,337.0008,337.9308,-0.9299,-0.2752,117056.7,3947000.994,hfq
002594.SZ,20250729,340.0364,341.5239,333.2363,338.2453,337.0006,1.2445,0.3693,387359.84,4322742.015,hfq
002594.SZ,20250730,328.0149,337.4561,325.1916,329.9881,338.2454,-8.2572,-2.4412,524834.27,5743878.668,hfq
002594.SZ,20250731,328.4701,328.4701,318.7556,319.4842,329.988,-10.5039,-3.1831,599499.43,6344900.791,hfq
002594.SZ,20250801,318.6038,322.5199,316.8127,321.1842,319.4842,1.7,0.5321,362336.92,3816659.558,hfq
002594.SZ,20250804,315.7197,319.1805,311.3786,318.3912,321.1841,-2.793,-0.8696,412936.94,4293903.59,hfq
002594.SZ,20250805,318.3911,319.3929,315.0518,318.3304,318.3911,-0.0608,-0.0191,338349.86,3539636.64,hfq
002594.SZ,20250806,318.3302,318.7552,315.4159,316.782,318.3302,-1.5484,-0.4864,305619.6,3184784.993,hfq
002594.SZ,20250807,316.539,323.0962,316.2051,319.7569,316.7819,2.9749,0.9391,428762.98,4526612.773,hfq
002594.SZ,20250808,318.755,318.846,315.446,315.5067,319.7568,-4.2502,-1.3292,326614.61,3405317.252,hfq
002594.SZ,20250811,315.355,320.7586,313.3817,320.3336,315.5067,4.8269,1.5299,356697.9,3741329.572,hfq
002594.SZ,20250812,319.9694,323.0963,317.8444,320.7891,320.3337,0.4555,0.1422,312195.04,3302639.096,hfq
002594.SZ,20250813,322.6715,326.8001,321.3054,324.3108,320.7893,3.5217,1.0978,459830.14,4908744.877,hfq
002594.SZ,20250814,325.9501,326.3447,321.1536,322.9143,324.3108,-1.3965,-0.4306,419547.93,4478119.017,hfq
002594.SZ,20250815,321.3358,323.7341,319.7269,322.0037,322.9144,-0.9106,-0.282,361353.46,3831047.052,hfq
002594.SZ,20250818,320.7591,332.3861,320.7591,328.986,322.0037,6.9823,2.1684,619251.73,6680761.816,hfq
002594.SZ,20250819,329.8969,330.6558,325.3736,326.7397,328.9862,-2.2463,-0.6828,389735.19,4205349.329,hfq
002594.SZ,20250820,325.3734,328.6521,321.8216,328.6217,326.7395,1.882,0.576,385053.45,4130459.252,hfq
002594.SZ,20250821,327.2554,330.3823,324.8268,325.1304,328.6215,-3.4913,-1.0624,449463.78,4843670.255,hfq
002594.SZ,20250822,325.1608,336.8789,325.1608,335.9378,325.1305,10.8074,3.324,763120.05,8351469.726,hfq
002594.SZ,20250825,337.9111,341.4933,334.8753,338.8218,335.9378,2.884,0.8585,611627.58,6803182.883,hfq
002594.SZ,20250826,339.2468,348.1719,336.0896,345.3183,338.8218,6.4965,1.9174,692915.85,7850511.029,hfq
002594.SZ,20250827,345.9558,346.2594,335.9378,335.9985,345.3183,-9.3198,-2.6989,689746.93,7761766.931,hfq
002594.SZ,20250828,332.0823,334.5109,325.1608,331.8698,335.9984,-4.1287,-1.2288,762521.99,8278465.956,hfq
002594.SZ,20250829,330.534,353.9398,328.2269,346.2593,331.8698,14.3895,4.3359,1144901.94,12973326.091,hfq
002594.SZ,20250901,329.3807,338.4273,329.3807,333.0236,346.2595,-13.2357,-3.8225,1329867.38,14546890.247,hfq
002594.SZ,20250902,330.261,337.2736,329.6842,333.995,333.0236,0.9714,0.2917,773224.1,8495472.755,hfq
002594.SZ,20250903,335.4521,336.1503,324.8572,325.4644,333.9949,-8.5306,-2.5541,735223.27,7975948.716,hfq
002594.SZ,20250904,323.5823,325.1002,314.8393,315.7197,325.4645,-9.7447,-2.9941,815740.74,8588835.881,hfq
002594.SZ,20250905,315.2947,326.3449,313.0179,325.6163,315.7197,9.8966,3.1346,787523.85,8307907.948,hfq
002594.SZ,20250908,322.2467,325.2218,320.3038,322.5503,325.6164,-3.066,-0.9416,555923.45,5910440.232,hfq
002594.SZ,20250909,321.7913,325.4343,319.5752,320.2431,322.5503,-2.3072,-0.7153,381636.22,4049249.507,hfq
002594.SZ,20250910,320.3341,323.1574,318.8163,319.3627,320.2431,-0.8804,-0.2749,322368.95,3401353.898,hfq
002594.SZ,20250911,319.5145,323.6128,318.4216,323.5824,319.3627,4.2197,1.3213,537781.49,5683446.689,hfq
002594.SZ,20250912,323.6127,326.5877,321.4876,321.518,323.5823,-2.0644,-0.638,455910.18,4859782.579,hfq
002594.SZ,20250915,321.7911,336.5146,321.7911,329.9877,321.5179,8.4697,2.6343,974804.07,10620465.041,hfq
002594.SZ,20250916,330.8983,330.8983,325.4947,327.2554,329.9876,-2.7323,-0.828,533160.21,5753437.964,hfq
002594.SZ,20250917,328.4698,340.0057,328.4698,336.9396,327.2555,9.6842,2.9592,981239.71,10827682.692,hfq
002594.SZ,20250918,336.9395,342.4342,329.5626,333.0537,336.9395,-3.8859,-1.1533,934013.8,10362193.293,hfq
002594.SZ,20250919,333.327,336.3628,330.8984,331.1716,333.0538,-1.8821,-0.5651,472977.48,5188176.204,hfq
002594.SZ,20250922,330.5039,330.6253,325.2824,327.8324,331.1717,-3.3392,-1.0083,491559.23,5293961.578,hfq
002594.SZ,20250923,326.193,326.9215,317.6625,320.5768,327.8323,-7.2556,-2.2132,650962.62,6888232.046,hfq
002594.SZ,20250924,318.7554,321.2751,315.7196,320.9108,320.5769,0.334,0.1042,548162.27,5758922.305,hfq
002594.SZ,20250925,319.7875,330.2913,318.3607,326.3448,320.9108,5.434,1.6933,693482.04,7421942.405,hfq
002594.SZ,20250926,326.1932,337.6684,324.8271,325.7075,326.345,-0.6373,-0.1953,756612.07,8250492.997,hfq
002594.SZ,20250929,324.827,331.3236,322.9752,329.7146,325.7074,4.0071,1.2303,613983.68,6621874.267,hfq
002594.SZ,20250930,328.4395,333.8735,327.1341,331.536,329.7145,1.8214,0.5524,567755.5,6200518.75,hfq
002594.SZ,20251009,329.8968,341.463,328.0753,335.7558,331.5361,4.2198,1.2728,1008721.97,11196004.667,hfq
002594.SZ,20251010,335.6039,335.6039,326.5877,327.2252,335.7557,-8.5306,-2.5407,590102.53,6420415.513,hfq
002594.SZ,20251013,318.7555,321.7306,316.0233,320.8502,327.2253,-6.375,-1.9482,744429.8,7841774.365,hfq
002594.SZ,20251014,323.8555,331.9913,320.6376,321.7608,320.8501,0.9106,0.2838,767786.27,8244228.529,hfq
002594.SZ,20251015,323.1574,326.3753,320.2734,325.1306,321.7609,3.3698,1.0473,475791.33,5063179.652,hfq
002594.SZ,20251016,324.827,331.8093,323.3395,324.7056,325.1306,-0.425,-0.1307,523096.38,5628738.804,hfq
002594.SZ,20251017,323.6127,323.7038,316.509,317.0251,324.7056,-7.6805,-2.3654,625724.94,6576614.911,hfq
002594.SZ,20251020,319.4233,320.668,315.9626,317.2983,317.0251,0.2732,0.0862,355614.52,3721699.722,hfq
002594.SZ,20251021,317.8144,318.968,316.4483,318.0269,317.2983,0.7286,0.2296,299074.19,3133789.475,hfq
002594.SZ,20251022,316.0231,316.691,313.807,315.0517,318.0267,-2.9752,-0.9355,357874.19,3715302.136,hfq
002594.SZ,20251023,313.5947,314.9,309.6482,314.7786,315.0518,-0.2731,-0.0867,378603.42,3889661.811,hfq
002594.SZ,20251024,315.6589,316.8428,314.5356,314.991,314.7785,0.2124,0.0675,305542.68,3173964.302,hfq
002594.SZ,20251027,315.7195,318.6642,315.3553,315.7499,314.991,0.7589,0.2409,345987.84,3607756.848,hfq
002594.SZ,20251028,315.7802,316.691,314.2016,314.8695,315.7499,-0.8804,-0.2788,265415.83,2755526.047,hfq
002594.SZ,20251029,314.8998,319.3017,312.6837,317.2981,314.8695,2.4286,0.7713,397340.4,4128608.369,hfq
002594.SZ,20251030,315.7196,318.3304,314.2018,314.5357,317.2982,-2.7624,-0.8706,358989.45,3733925.603,hfq
002594.SZ,20251031,306.6125,307.584,303.5767,305.975,314.5359,-8.5607,-2.7217,637052.59,6418551.106,hfq
002594.SZ,20251103,305.975,306.5821,299.0231,302.3624,305.975,-3.6126,-1.1807,551670.21,5472679.665,hfq
002594.SZ,20251104,300.541,302.1803,296.6249,296.8981,302.3625,-5.4643,-1.8072,435017.04,4274197.474,hfq
002594.SZ,20251105,293.4373,293.4373,287.5782,290.8265,296.898,-6.0716,-2.045,587215.1,5617215.879,hfq
002594.SZ,20251106,290.1586,296.7462,289.6122,296.048,290.8265,5.2215,1.7954,402003.67,3897723.836,hfq
002594.SZ,20251107,294.4695,297.9607,293.9535,295.0767,296.0481,-0.9713,-0.3281,322560.73,3145817.991,hfq
002594.SZ,20251110,295.532,304.6393,295.532,301.725,295.0767,6.6483,2.2531,554876.9,5513238.813,hfq
002594.SZ,20251111,302.0589,302.9089,297.9302,299.6606,301.7249,-2.0644,-0.6842,319857.88,3161124.11,hfq
002594.SZ,20251112,299.9338,300.5106,296.1088,296.807,299.6606,-2.8536,-0.9523,260643.35,2555847.684,hfq
002594.SZ,20251113,294.4998,305.0947,294.4998,303.0607,296.807,6.2537,2.107,579990.22,5759429.264,hfq
002594.SZ,20251114,300.5409,305.0946,298.507,298.6284,303.0606,-4.4323,-1.4625,342984.66,3396134.916,hfq
002594.SZ,20251117,296.8981,299.2963,295.2284,297.7481,298.6285,-0.8803,-0.2948,207247.59,2029207.779,hfq
002594.SZ,20251118,296.1089,297.0499,291.4945,292.9213,297.7482,-4.8268,-1.6211,304756.45,2949162.765,hfq
002594.SZ,20251119,292.6481,293.4374,288.4284,288.9141,292.9213,-4.0072,-1.368,348292.35,3327809.284,hfq
002594.SZ,20251120,288.914,289.9158,283.8443,284.1782,288.914,-4.7359,-1.6392,391810.87,3692348.085,hfq
002594.SZ,20251121,280.7782,286.5461,278.3799,281.4157,284.1782,-2.7625,-0.9721,451713.13,4182916.493,hfq
002594.SZ,20251124,282.6302,286.6071,279.898,285.1499,281.4159,3.7342,1.3269,327302.13,3064736.739,hfq
002594.SZ,20251125,285.3623,289.5517,284.4516,285.0891,285.1498,-0.0608,-0.0213,277488.87,2620855.758,hfq
002594.SZ,20251126,287.6391,289.7338,286.7284,288.6713,285.0891,3.5822,1.2565,306576.97,2914626.393,hfq
002594.SZ,20251127,287.1838,288.8838,286.0302,286.2427,288.6713,-2.4286,-0.8413,202279.96,1915349.541,hfq
002594.SZ,20251128,287.1838,289.0963,285.9695,288.9142,286.2427,2.6715,0.9333,219350.62,2080615.71,hfq
002594.SZ,20251201,289.5822,292.3448,288.8233,290.7358,288.9143,1.8216,0.6305,233712.72,2237016.414,hfq
002594.SZ,20251202,292.7089,296.8983,292.1929,293.3161,290.7357,2.5803,0.8875,359217.46,3483571.735,hfq
002594.SZ,20251203,293.3769,293.4072,288.0643,288.55,293.3162,-4.7661,-1.6249,231572.84,2207429.346,hfq
002594.SZ,20251204,288.1554,289.2786,285.9696,289.1268,288.55,0.5768,0.1999,166141.64,1576759.405,hfq
002594.SZ,20251205,289.2786,292.1019,287.5179,291.3733,289.1268,2.2465,0.777,211618.47,2021250.209,hfq
002594.SZ,20251208,292.0715,294.9251,292.0715,293.0429,291.3732,1.6696,0.573,247804.98,2397261.754,hfq
002594.SZ,20251209,292.0713,293.4374,290.5231,291.5249,293.0428,-1.518,-0.518,163227.02,1568057.388,hfq
002594.SZ,20251210,290.2196,293.4071,288.0945,292.8607,291.525,1.3358,0.4582,198402.24,1902988.18,hfq
002594.SZ,20251211,294.4088,294.8338,290.9784,292.132,292.8606,-0.7287,-0.2488,250907.67,2422448.208,hfq
002594.SZ,20251212,292.0411,296.5947,290.3714,294.4697,292.1322,2.3377,0.8002,554620.88,5390456.375,hfq
002594.SZ,20251215,293.1035,294.9553,290.007,290.007,294.4696,-4.4627,-1.5155,293300.99,2824248.327,hfq
002594.SZ,20251216,289.9159,290.5231,285.7873,286.1212,290.007,-3.8858,-1.3399,258767.71,2450336.536,hfq
002594.SZ,20251217,286.8802,290.5231,284.3909,289.0356,286.1213,2.9144,1.0186,272825.0,2584139.145,hfq
002594.SZ,20251218,286.5464,287.1839,283.8445,283.9356,289.0357,-5.1,-1.7645,252797.34,2376126.962,hfq
002594.SZ,20251219,285.3623,289.2177,284.5426,286.0605,283.9355,2.1249,0.7484,272067.94,2573037.718,hfq
002594.SZ,20251222,287.4874,289.491,286.1213,286.4856,286.0606,0.4251,0.1486,206234.82,1952361.858,hfq
002594.SZ,20251223,286.8801,289.9159,286.8801,287.8212,286.4855,1.3356,0.4662,236617.41,2247679.864,hfq
002594.SZ,20251224,287.791,287.791,285.5142,286.6374,287.8214,-1.1838,-0.4113,192809.95,1819358.259,hfq
002594.SZ,20251225,286.6677,289.0964,285.7266,287.9124,286.6374,1.275,0.4448,182201.63,1725723.851,hfq
002594.SZ,20251226,289.2481,307.9788,289.157,303.6073,287.9124,15.6949,5.4513,1020958.95,10178557.962,hfq
002594.SZ,20251229,305.095,307.5236,302.3628,304.2146,303.6074,0.6073,0.2,519166.96,5209488.142,hfq
002594.SZ,20251230,301.3307,304.0325,299.7521,302.8182,304.2147,-1.3964,-0.459,318756.38,3174697.986,hfq
002594.SZ,20251231,303.5164,304.1843,295.6234,296.6556,302.8182,-6.1626,-2.0351,402858.87,3955310.311,hfq
002594.SZ,20260105,298.7199,301.9985,297.202,297.8395,296.6555,1.1839,0.3991,382625.21,3762797.878,hfq
002594.SZ,20260106,298.1734,305.0949,297.8698,303.5467,297.8395,5.7072,1.9162,521784.86,5185026.166,hfq
002594.SZ,20260107,303.4557,303.4557,294.652,296.2913,303.5468,-7.2554,-2.3902,560848.81,5502570.731,hfq
002594.SZ,20260108,295.077,295.077,292.4359,294.1056,296.2914,-2.1857,-0.7377,300654.75,2908439.429,hfq
002594.SZ,20260109,294.6217,297.3539,294.1664,294.5003,294.1056,0.3947,0.1342,350340.58,3412630.185,hfq
002594.SZ,20260112,294.5003,297.5058,292.3449,295.8968,294.5003,1.3965,0.4742,425257.19,4125432.529,hfq
002594.SZ,20260113,300.5414,302.3629,294.1056,295.0467,295.8967,-0.8501,-0.2873,498722.72,4905229.942,hfq
002594.SZ,20260114,293.8932,296.7165,289.9467,291.7378,295.0468,-3.3089,-1.1215,514749.73,4975154.616,hfq
002594.SZ,20260115,291.6769,293.3769,290.2197,290.4322,291.7376,-1.3056,-0.4475,295635.46,2835803.09,hfq
002594.SZ,20260116,293.559,295.8055,290.2197,291.009,290.4322,0.5768,0.1986,384588.02,3705328.916,hfq
002594.SZ,20260119,293.8932,295.3807,290.736,292.011,291.0092,1.002,0.3443,334927.15,3227653.862,hfq
002594.SZ,20260120,292.1021,292.2236,287.4271,287.6092,292.0111,-4.4018,-1.5074,389149.47,3699337.566,hfq
002594.SZ,20260121,285.3932,288.2165,285.3628,285.6664,287.6093,-1.9428,-0.6755,308333.93,2910327.666,hfq
002594.SZ,20260122,287.5487,288.7933,285.029,285.7272,285.6665,0.0608,0.0213,291014.25,2741536.605,hfq
002594.SZ,20260123,286.0914,286.4557,283.8753,284.3003,285.7271,-1.4269,-0.4994,383302.72,3598066.421,hfq
002594.SZ,20260126,284.3002,284.3305,280.809,281.2037,284.3002,-3.0966,-1.0892,375459.61,3485372.554,hfq
