ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj
688981.SH,20250703,86.38,86.73,85.78,86.24,86.1,0.0,0.1626,146150.27,1260331.049,hfq
688981.SH,20250704,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,2166412.311,hfq
688981.SH,20250707,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,1162397.568,hfq
688981.SH,20250708,85.4899,86.8499,85.1799,86.7399,85.4799,1.2599,1.474,217668.48,1876172.23,hfq
688981.SH,20250709,86.6499,86.8599,85.5199,85.8499,86.7399,-0.89,-1.0261,183102.0,1578143.686,hfq
688981.SH,20250710,85.6099,86.1699,85.4999,85.6699,85.8499,-0.18,-0.2097,175639.46,1506706.468,hfq
688981.SH,20250711,85.6999,89.3399,85.3999,88.1599,85.6699,2.49,2.9065,469922.38,4128335.55,hfq
688981.SH,20250714,88.2998,88.4898,87.4698,87.5198,88.1598,-0.6401,-0.726,189831.36,1667925.619,hfq
688981.SH,20250715,87.1499,87.9499,86.6099,87.8899,87.5199,0.3701,0.4228,206173.16,1800356.659,hfq
688981.SH,20250716,87.7299,88.1999,86.7699,87.1199,87.8899,-0.77,-0.8761,196708.51,1720548.788,hfq
688981.SH,20250717,87.0599,88.9999,86.3199,88.7899,87.1199,1.67,1.9169,287922.16,2535637.954,hfq
688981.SH,20250718,88.7498,89.1298,87.9298,88.5098,88.7898,-0.2801,-0.3154,219959.93,1948101.635,hfq
688981.SH,20250721,88.4498,89.5198,88.0398,89.0198,88.5098,0.51,0.5762,222719.15,1983498.56,hfq
688981.SH,20250722,88.6998,90.5498,88.4998,89.0798,89.0198,0.06,0.0674,297420.68,2662984.479,hfq
688981.SH,20250723,88.8998,90.1898,88.2998,89.3898,89.0798,0.31,0.348,316549.41,2831683.379,hfq
688981.SH,20250724,89.0998,92.8998,88.9998,91.7498,89.3898,2.36,2.6401,522324.53,4779308.503,hfq
688981.SH,20250725,91.7398,93.6798,90.9898,93.4698,91.7498,1.72,1.8747,442124.79,4076414.682,hfq
